"Jugadores" "Posiciones" "Valores_Mercado" "Nacimiento" "Equipos"
"1" "Raúl Lizoain" "Portero" 6e+05 1991-01-27 "AD Alcorcón"
"2" "Dani Jiménez" "Portero" 3e+05 1990-03-05 "AD Alcorcón"
"3" "Esteban Burgos" "Defensa central" 6e+05 1992-01-09 "AD Alcorcón"
"4" "Héctor Rodas" "Defensa central" 4e+05 1988-03-07 "AD Alcorcón"
"5" "David Fernández" "Defensa central" 4e+05 1985-04-06 "AD Alcorcón"
"6" "Unai Elgezabal" "Defensa central" 3e+05 1993-04-25 "AD Alcorcón"
"7" "Carlos Bellvís" "Lateral izquierdo" 3e+05 1985-04-24 "AD Alcorcón"
"8" "Aly Abeid" "Lateral izquierdo" 1e+05 1997-12-11 "AD Alcorcón"
"9" "Laure" "Lateral derecho" 3e+05 1985-03-22 "AD Alcorcón"
"10" "Felipe Alfonso" "Lateral derecho" 3e+05 1993-04-14 "AD Alcorcón"
"11" "Jon Errasti" "Pivote" 6e+05 1988-06-06 "AD Alcorcón"
"12" "Daniel Toribio" "Pivote" 5e+05 1988-10-05 "AD Alcorcón"
"13" "Eddy Silvestre" "Medio centro" 3e+05 1992-08-02 "AD Alcorcón"
"14" "Albert Dorca" "Medio centro" 2e+05 1982-12-23 "AD Alcorcón"
"15" "Richard Boateng" "Medio centro ofensivo" 4e+05 1992-07-10 "AD Alcorcón"
"16" "Nono" "Extremo izquierdo" 3e+05 1991-05-28 "AD Alcorcón"
"17" "Borja Galán" "Extremo izquierdo" 3e+05 1993-04-26 "AD Alcorcón"
"18" "Jaime Gavilán" "Extremo izquierdo" 1e+05 1985-05-12 "AD Alcorcón"
"19" "Marco Sangalli" "Extremo derecho" 5e+05 1992-02-07 "AD Alcorcón"
"20" "David Mayoral" "Extremo derecho" 2e+05 1997-04-05 "AD Alcorcón"
"21" "Jonathan Pereira" "Delantero centro" 7e+05 1987-05-12 "AD Alcorcón"
"22" "Víctor Casadesús" "Delantero centro" 7e+05 1985-02-28 "AD Alcorcón"
"23" "Juan Muñoz" "Delantero centro" 7e+05 1995-11-12 "AD Alcorcón"
"24" "Fran Sandaza" "Delantero centro" 2e+05 1984-11-30 "AD Alcorcón"
"25" "José Antonio Caro" "Portero" 8e+05 1994-05-03 "Albacete Balompié"
"26" "Tomeu Nadal" "Portero" 6e+05 1989-02-08 "Albacete Balompié"
"27" "Nicolás Gorosito" "Defensa central" 6e+05 1988-08-17 "Albacete Balompié"
"28" "José Antonio Caro" "Defensa central" 4e+05 1993-03-08 "Albacete Balompié"
"29" "Santiago Gentiletti" "Defensa central" 2e+05 1985-01-09 "Albacete Balompié"
"30" "Fran García" "Lateral izquierdo" 3e+05 1992-12-07 "Albacete Balompié"
"31" "Borja Herrera" "Lateral izquierdo" 3e+05 1993-01-08 "Albacete Balompié"
"32" "Álvaro Arroyo" "Lateral derecho" 5e+05 1988-07-22 "Albacete Balompié"
"33" "Álvaro Tejero" "Lateral derecho" 4e+05 1996-07-20 "Albacete Balompié"
"34" "Adrián Gómez" "Pivote" 6e+05 1994-01-17 "Albacete Balompié"
"35" "Mickaël Malsa" "Pivote" 3e+05 1995-10-12 "Albacete Balompié"
"36" "Álvaro Peña" "Medio centro" 6e+05 1991-10-24 "Albacete Balompié"
"37" "Pelayo" "Medio centro" 4e+05 1990-11-01 "Albacete Balompié"
"38" "Diego Barri" "Medio centro" 2e+05 1995-09-19 "Albacete Balompié"
"39" "Eugeni Valderrama" "Medio centro ofensivo" 8e+05 1994-07-19 "Albacete Balompié"
"40" "Aleix Febas" "Medio centro ofensivo" 5e+05 1996-02-22 "Albacete Balompié"
"41" "Paulo Vitor" "Extremo izquierdo" 3e+05 1999-06-24 "Albacete Balompié"
"42" "Néstor Susaeta" "Extremo derecho" 4e+05 1984-12-11 "Albacete Balompié"
"43" "Roman Zozulya" "Delantero centro" 8e+05 1989-11-17 "Albacete Balompié"
"44" "Alfredo Ortuño" "Delantero centro" 7e+05 1991-01-21 "Albacete Balompié"
"45" "Rey Manaj" "Delantero centro" 6e+05 1997-02-24 "Albacete Balompié"
"46" "Jérémie Bela" "Delantero centro" 6e+05 1993-04-08 "Albacete Balompié"
"47" "Javi Acuña" "Delantero centro" 3e+05 1988-06-23 "Albacete Balompié"
"48" "Alberto Cifuentes" "Portero" 1e+05 1979-05-29 "Cádiz CF"
"49" "David Gil" "Portero" 1e+05 1994-01-11 "Cádiz CF"
"50" "Sergio Sánchez" "Defensa central" 7e+05 1986-04-03 "Cádiz CF"
"51" "Marcos Mauro" "Defensa central" 5e+05 1991-01-09 "Cádiz CF"
"52" "Ivan Kecojevic" "Defensa central" 4e+05 1988-04-10 "Cádiz CF"
"53" "Servando" "Defensa central" 2e+05 1984-06-02 "Cádiz CF"
"54" "Matos" "Lateral izquierdo" 1200000 1995-05-06 "Cádiz CF"
"55" "Brian Oliván" "Lateral izquierdo" 5e+05 1994-04-01 "Cádiz CF"
"56" "Alfonso Espino" "Lateral izquierdo" 1250000 1992-01-05 "Cádiz CF"
"57" "David Carmona" "Lateral derecho" 1500000 1997-01-11 "Cádiz CF"
"58" "Roberto Correa" "Lateral derecho" 4e+05 1992-09-20 "Cádiz CF"
"59" "Jon Ander Garrido" "Pivote" 7e+05 1989-10-09 "Cádiz CF"
"60" "José Mari" "Pivote" 6e+05 1987-12-06 "Cádiz CF"
"61" "Álex Fernández" "Medio centro" 8e+05 1992-10-15 "Cádiz CF"
